doi,clientId,publicationYear,resourceType,title,publisher,isPublisher,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi
10.5281/zenodo.5159501,cern.zenodo,2021,Software,Causal Classifier,Zenodo,0,1,0,1,0
10.5281/zenodo.5159500,cern.zenodo,2021,Software,Causal Classifier,Zenodo,0,1,0,0,1
10.5281/zenodo.5215771,cern.zenodo,2021,Text,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.5281/zenodo.5233604,cern.zenodo,2021,Dataset,Identifying Source Code File Maintainers,Zenodo,0,1,0,1,0
10.5281/zenodo.5233603,cern.zenodo,2021,Dataset,Identifying Source Code File Experts,Zenodo,0,1,0,0,1
10.5281/zenodo.5542991,cern.zenodo,2021,Dataset,Research on Cognition in Software Engineering,Zenodo,0,1,0,1,0
10.5281/zenodo.5542990,cern.zenodo,2021,Dataset,Research on Cognition in Software Engineering,Zenodo,0,1,0,0,1
10.5281/zenodo.5548361,cern.zenodo,2021,Software,Data set and supplementary files for Cognition in Software Engineering: A Taxonomy and Survey of a Half-Century of Research,Zenodo,0,1,0,0,1
10.5281/zenodo.5549889,cern.zenodo,2021,Software,Automatic Creation of Acceptance Tests by Extracting Conditionals from Requirements: NLP Approach and Case Study,Zenodo,0,1,0,0,1
10.5281/zenodo.5549945,cern.zenodo,2021,Software,Automatic Creation of Acceptance Tests by Extracting Conditionals from Requirements: NLP Approach and Case Study,Zenodo,0,1,0,1,0
10.5281/zenodo.5550387,cern.zenodo,2021,Software,Automatic Creation of Acceptance Tests by Extracting Conditionals from Requirements: NLP Approach and Case Study,Zenodo,0,1,0,1,0
10.5281/zenodo.5599265,cern.zenodo,2021,Software,GiulioRossetti/dynetx:,Zenodo,0,1,0,1,0
10.5281/zenodo.5795386,cern.zenodo,2021,Text,The Role of Duplicated Code in Software Readability and Comprehension,Zenodo,0,1,0,1,0
10.5281/zenodo.5795385,cern.zenodo,2021,Text,The Role of Duplicated Code in Software Readability and Comprehension,Zenodo,0,1,0,0,0
10.5281/zenodo.5807601,cern.zenodo,2021,Dataset,A comparison of citation sources for reference and citations based search in systematic literature reviews,Zenodo,0,1,0,1,0
10.5281/zenodo.5807600,cern.zenodo,2021,Dataset,A comparison of citation sources for reference and citations based search in systematic literature reviews,Zenodo,0,1,0,0,0
10.5281/zenodo.5845968,cern.zenodo,2021,Software,Data set and supplementary files for Cognition in Software Engineering: A Taxonomy and Survey of a Half-Century of Research,Zenodo,0,1,0,1,0
10.5281/zenodo.6393362,cern.zenodo,2022,Dataset,Assessing the Linguistic Quality of REST APIs for IoT Applications,Zenodo,0,1,0,1,0
10.5281/zenodo.6393404,cern.zenodo,2022,Dataset,Assessing the Linguistic Quality of REST APIs for IoT Applications,Zenodo,0,1,0,1,0
10.5281/zenodo.6563767,cern.zenodo,2022,Dataset,Requirements Quality Factor Ontology,Zenodo,0,1,0,1,0
10.5281/zenodo.6563766,cern.zenodo,2022,Dataset,Requirements Quality Factor Ontology,Zenodo,0,1,0,0,1
10.5281/zenodo.6563829,cern.zenodo,2022,Dataset,Requirements Quality Factor Ontology,Zenodo,0,1,0,1,0
10.5281/zenodo.6583690,cern.zenodo,2022,Dataset,Requirements Quality Factor Ontology,Zenodo,0,1,0,1,0
10.5281/zenodo.6701476,cern.zenodo,2022,Dataset,Supporting dataset for tertiary study on source code metrics,Zenodo,0,1,0,1,0
10.5281/zenodo.6701475,cern.zenodo,2022,Dataset,Supporting dataset for tertiary study on source code metrics,Zenodo,0,1,0,0,1
10.5281/zenodo.6709467,cern.zenodo,2022,Dataset,Supporting dataset for tertiary study on source code metrics,Zenodo,0,1,0,1,0
10.5281/zenodo.6719261,cern.zenodo,2022,Software,michaeldorner/only-time-will-tell: v2.0,Zenodo,0,1,0,1,0
10.5281/zenodo.6719260,cern.zenodo,2022,Software,michaeldorner/only-time-will-tell: v2.0,Zenodo,0,1,0,0,0
10.5281/zenodo.6730576,cern.zenodo,2021,Dataset,Identifying Source Code File Maintainers,Zenodo,0,1,0,1,0
10.5281/zenodo.6757346,cern.zenodo,2021,Dataset,Identifying Source Code File Experts,Zenodo,0,1,0,1,0
10.5281/zenodo.6757349,cern.zenodo,2021,Dataset,Identifying Source Code File Experts,Zenodo,0,1,0,1,0
10.5281/zenodo.6759199,cern.zenodo,2022,Dataset,Supporting dataset for tertiary study on source code metrics,Zenodo,0,1,0,1,0
10.5061/dryad.51c59zw8g,dryad.dryad,2022,Dataset,Quantitative 3D OPT and LSFM datasets of pancreata from mice with streptozotocin-induced diabetes: Dataset 1,Dryad,0,1,0,1,0
10.5061/dryad.9s4mw6mh5,dryad.dryad,2022,Dataset,Quantitative 3D OPT and LSFM datasets of pancreata from mice with streptozotocin-induced diabetes: Dataset 2 &amp; 3,Dryad,0,1,0,1,0
10.5061/dryad.7h44j0zvn,dryad.dryad,2022,Dataset,Quantitative 3D OPT and LSFM datasets of pancreata from mice with streptozotocin-induced diabetes: Sample data sets,Dryad,0,1,0,1,0
10.57698/v16i2.07,pixn.isfewa,2022,JournalArticle,Design with and by marginalized people in humanitarian makerspaces,International Journal of Design,0,1,0,1,0
10.5281/zenodo.7053198,cern.zenodo,2022,Other,Towards automated open source assessment - An empirical study,Zenodo,0,1,0,1,0
10.5281/zenodo.7053197,cern.zenodo,2022,Other,Towards automated open source assessment - An empirical study,Zenodo,0,1,0,0,0
10.5281/zenodo.7066821,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.5281/zenodo.7066849,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.5281/zenodo.7071956,cern.zenodo,2022,Dataset,An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach,Zenodo,0,1,0,1,0
10.5281/zenodo.7071955,cern.zenodo,2022,Dataset,An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach,Zenodo,0,1,0,0,0
10.5281/zenodo.7157381,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0
10.5281/zenodo.7157380,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,0,1
10.5281/zenodo.7186287,cern.zenodo,2022,Software,CiRA Models,Zenodo,0,1,0,1,0
10.5281/zenodo.7186286,cern.zenodo,2022,Software,CiRA Models,Zenodo,0,1,0,0,1
10.5281/zenodo.7212990,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0
10.5281/zenodo.7214080,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0
10.5281/zenodo.7219870,cern.zenodo,2022,Dataset,Dataset for A catalog of source code metrics – a tertiary study,Zenodo,0,1,0,1,0
10.5281/zenodo.7248201,cern.zenodo,2022,Dataset,Dataset for Code Review Guidelines for GUI-based Testing Artifacts,Zenodo,0,1,0,1,0
10.5281/zenodo.7248200,cern.zenodo,2022,Dataset,Dataset for Code Review Guidelines for GUI-based Testing Artifacts,Zenodo,0,1,0,0,0
10.5281/zenodo.7464947,cern.zenodo,2022,JournalArticle,Data used in modern code review mapping study and survey,Zenodo,0,1,0,1,0
10.13140/rg.2.2.14318.28487,rg.rg,2020,Text,A teacher's guide to online education,Blekinge Institute of Technology,1,0,0,1,0
10.5281/zenodo.7562614,cern.zenodo,2023,Dataset,Documentation defects,Zenodo,0,1,0,1,0
10.5281/zenodo.7562613,cern.zenodo,2023,Dataset,Documentation defects,Zenodo,0,1,0,0,0
10.5281/zenodo.7638518,cern.zenodo,2023,Software,Taxonomic Trace Links Recommender: Context Aware Hierarchical Classification,Zenodo,0,1,0,1,0
10.5281/zenodo.7638517,cern.zenodo,2023,Software,Taxonomic Trace Links Recommender: Context Aware Hierarchical Classification,Zenodo,0,1,0,0,0
10.5281/zenodo.7708571,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,1,0
10.5281/zenodo.7708570,cern.zenodo,2023,Dataset,Recovery of unavailable Requirements Quality Artifacts,Zenodo,0,1,0,0,1
